loan_amnt,funded_amnt,term,int_rate,grade,sub_grade,annual_inc,purpose,loan_status,dti,installment,home_ownership,verification_status,emp_length,addr_state,Income Band,Default
9000,9000, 36 months,11.8,B,B4,40000.0,debt_consolidation,Current,4.92,298.07,RENT,Not Verified,1 year,CA,Low Income,0
12400,12400, 36 months,11.8,B,B4,64000.0,debt_consolidation,Current,28.0,410.68,MORTGAGE,Verified,10+ years,NH,Medium Income,0
35000,35000, 60 months,10.33,B,B1,52000.0,house,Current,10.15,749.35,MORTGAGE,Source Verified,10+ years,GA,Medium Income,0
25000,25000, 36 months,6.46,A,A1,100000.0,debt_consolidation,Current,19.46,765.77,OWN,Not Verified,10+ years,MD,High Income,0
5000,5000, 36 months,7.56,A,A3,34000.0,debt_consolidation,Current,18.96,155.67,RENT,Verified,5 years,FL,Low Income,0
4000,4000, 36 months,10.33,B,B1,30000.0,debt_consolidation,Current,33.2,129.69,RENT,Source Verified,7 years,GA,Low Income,0
7650,7650, 36 months,8.19,A,A4,29000.0,debt_consolidation,Current,29.22,240.4,RENT,Not Verified,3 years,OH,Low Income,0
6000,6000, 36 months,12.98,B,B5,43000.0,credit_card,Current,27.16,202.11,RENT,Not Verified,< 1 year,WA,Medium Income,0
10000,10000, 36 months,14.47,C,C2,35000.0,credit_card,Current,9.95,344.07,RENT,Source Verified,2 years,UT,Low Income,0
10000,10000, 36 months,14.47,C,C2,40500.0,credit_card,Current,39.35,344.07,RENT,Not Verified,3 years,TX,Medium Income,0
12000,12000, 36 months,8.81,A,A5,125005.0,credit_card,Current,21.19,380.54,MORTGAGE,Not Verified,9 years,TX,Very High Income,0
3000,3000, 36 months,17.97,D,D1,60000.0,credit_card,Current,34.86,108.42,RENT,Source Verified,2 years,TX,Medium Income,0
20000,20000, 36 months,10.72,B,B2,84000.0,credit_card,Current,29.79,652.13,MORTGAGE,Source Verified,6 years,MI,High Income,0
20000,20000, 60 months,26.31,E,E4,58000.0,credit_card,Fully Paid,22.66,602.49,MORTGAGE,Not Verified,4 years,LA,Medium Income,0
12000,12000, 36 months,7.02,A,A2,80000.0,debt_consolidation,Current,5.7,370.64,MORTGAGE,Not Verified,10+ years,HI,Medium Income,0
5500,5500, 36 months,8.19,A,A4,71103.0,credit_card,Current,32.57,172.84,RENT,Source Verified,10+ years,AZ,Medium Income,0
24000,24000, 60 months,13.56,C,C1,60000.0,debt_consolidation,Current,17.26,552.98,MORTGAGE,Verified,5 years,OH,Medium Income,0
30000,30000, 36 months,6.46,A,A1,66000.0,debt_consolidation,Current,24.1,918.93,MORTGAGE,Source Verified,2 years,FL,Medium Income,0
40000,40000, 60 months,10.33,B,B1,210000.0,debt_consolidation,Current,5.7,856.4,RENT,Not Verified,< 1 year,NC,Very High Income,0
9600,9600, 36 months,7.02,A,A2,85200.0,home_improvement,Current,5.38,296.51,MORTGAGE,Not Verified,< 1 year,KY,High Income,0
20000,20000, 60 months,8.19,A,A4,80000.0,debt_consolidation,Current,21.87,407.35,MORTGAGE,Source Verified,10+ years,MN,Medium Income,0
9600,9600, 36 months,6.46,A,A1,80000.0,debt_consolidation,Current,18.9,294.06,RENT,Source Verified,5 years,FL,Medium Income,0
11700,11700, 60 months,10.33,B,B1,48000.0,debt_consolidation,Current,18.45,250.5,MORTGAGE,Source Verified,10+ years,WI,Medium Income,0
25000,25000, 60 months,15.02,C,C3,50000.0,debt_consolidation,Current,17.71,595.02,MORTGAGE,Source Verified,10+ years,WI,Medium Income,0
7800,7800, 36 months,7.02,A,A2,40000.0,debt_consolidation,Current,8.31,240.92,OWN,Not Verified,10+ years,WV,Low Income,0
28000,28000, 60 months,14.47,C,C2,54000.0,debt_consolidation,Current,28.44,658.36,MORTGAGE,Not Verified,3 years,VA,Medium Income,0
25000,25000, 60 months,11.8,B,B4,72000.0,credit_card,Current,30.5,553.59,RENT,Not Verified,5 years,CA,Medium Income,0
6500,6500, 36 months,8.19,A,A4,105000.0,debt_consolidation,Current,24.01,204.26,RENT,Verified,10+ years,VA,High Income,0
40000,40000, 36 months,6.46,A,A1,100000.0,debt_consolidation,Current,23.65,1225.24,MORTGAGE,Source Verified,1 year,OH,High Income,0
5000,5000, 36 months,26.31,E,E4,72000.0,moving,Current,17.52,202.28,RENT,Not Verified,2 years,NY,Medium Income,0
15000,15000, 60 months,16.91,C,C5,76000.0,credit_card,Current,24.03,372.07,RENT,Not Verified,10+ years,KS,Medium Income,0
19700,19700, 60 months,10.72,B,B2,32000.0,other,Current,1.31,425.58,MORTGAGE,Verified,2 years,GA,Low Income,0
10000,10000, 60 months,14.47,C,C2,54000.0,debt_consolidation,Current,25.09,235.13,OWN,Source Verified,4 years,GA,Medium Income,0
5000,5000, 36 months,10.33,B,B1,144000.0,credit_card,Current,9.76,162.12,MORTGAGE,Not Verified,9 years,PA,Very High Income,0
30000,30000, 36 months,16.14,C,C4,91000.0,debt_consolidation,Current,33.48,1056.79,MORTGAGE,Not Verified,4 years,OH,High Income,0
27000,27000, 60 months,22.35,D,D5,75000.0,debt_consolidation,Current,15.62,751.1,MORTGAGE,Source Verified,1 year,SC,Medium Income,0
10500,10500, 36 months,14.47,C,C2,51500.0,debt_consolidation,Current,2.68,361.27,RENT,Not Verified,10+ years,CT,Medium Income,0
9000,9000, 36 months,7.56,A,A3,47000.0,debt_consolidation,Current,26.12,280.21,RENT,Not Verified,4 years,CA,Medium Income,0
16000,16000, 36 months,11.8,B,B4,35000.0,major_purchase,Current,15.84,529.91,MORTGAGE,Verified,< 1 year,IL,Low Income,0
20000,20000, 36 months,11.8,B,B4,75000.0,credit_card,Current,15.66,662.38,OWN,Source Verified,10+ years,NY,Medium Income,0
8400,8400, 36 months,11.31,B,B3,43000.0,debt_consolidation,Current,8.74,276.25,RENT,Not Verified,1 year,MI,Medium Income,0
11000,11000, 60 months,10.33,B,B1,87000.0,debt_consolidation,Current,15.88,235.51,MORTGAGE,Source Verified,7 years,OH,High Income,0
3375,3375, 36 months,14.47,C,C2,39409.0,credit_card,Current,5.76,116.13,MORTGAGE,Not Verified,4 years,IL,Low Income,0
5500,5500, 36 months,6.46,A,A1,40000.0,credit_card,Current,6.57,168.47,OWN,Not Verified,< 1 year,CT,Low Income,0
32625,32625, 36 months,12.98,B,B5,166000.0,debt_consolidation,Current,35.01,1098.96,MORTGAGE,Source Verified,2 years,VA,Very High Income,0
12000,12000, 36 months,7.02,A,A2,80000.0,home_improvement,Current,34.19,370.64,MORTGAGE,Not Verified,1 year,KS,Medium Income,0
35000,35000, 60 months,17.97,D,D1,120000.0,debt_consolidation,Current,23.92,888.2,RENT,Source Verified,2 years,NJ,High Income,0
8000,8000, 36 months,8.19,A,A4,63000.0,debt_consolidation,Current,8.53,251.4,RENT,Not Verified,9 years,FL,Medium Income,0
10000,10000, 60 months,12.98,B,B5,60000.0,car,Fully Paid,12.25,227.43,MORTGAGE,Not Verified,1 year,RI,Medium Income,0
20000,20000, 36 months,10.33,B,B1,60000.0,debt_consolidation,Current,16.42,648.45,MORTGAGE,Not Verified,8 years,CA,Medium Income,0
36000,36000, 36 months,10.33,B,B1,118000.0,credit_card,Current,25.05,1167.21,OWN,Verified,10+ years,NY,High Income,0
15000,15000, 36 months,8.19,A,A4,260000.0,credit_card,Current,16.63,471.37,MORTGAGE,Verified,< 1 year,OH,Very High Income,0
17500,17500, 60 months,22.35,D,D5,50000.0,debt_consolidation,Current,36.92,486.82,MORTGAGE,Verified,9 years,OH,Medium Income,0
10400,10400, 36 months,12.98,B,B5,66000.0,debt_consolidation,Current,23.38,350.32,MORTGAGE,Source Verified,10+ years,PA,Medium Income,0
10450,10450, 36 months,11.31,B,B3,30000.0,debt_consolidation,Current,13.44,343.66,MORTGAGE,Source Verified,< 1 year,NY,Low Income,0
3500,3500, 36 months,10.72,B,B2,195000.0,debt_consolidation,Current,11.58,114.13,OWN,Not Verified,2 years,TX,Very High Income,0
6000,6000, 36 months,13.56,C,C1,35000.0,debt_consolidation,Current,3.77,203.79,RENT,Not Verified,1 year,PA,Low Income,0
10800,10800, 60 months,10.72,B,B2,59999.0,credit_card,Current,27.77,233.32,MORTGAGE,Verified,9 years,TX,Medium Income,0
8500,8500, 36 months,8.81,A,A5,67000.0,debt_consolidation,Current,29.03,269.55,MORTGAGE,Verified,10+ years,NC,Medium Income,0
24000,24000, 36 months,16.91,C,C5,125000.0,credit_card,Current,46.52,854.6,MORTGAGE,Verified,9 years,NM,Very High Income,0
12000,12000, 36 months,6.46,A,A1,50000.0,credit_card,Current,20.81,367.57,MORTGAGE,Not Verified,7 years,MI,Medium Income,0
10000,10000, 36 months,6.46,A,A1,105000.0,credit_card,Current,15.58,306.31,MORTGAGE,Source Verified,10+ years,PA,High Income,0
38800,38800, 60 months,11.8,B,B4,120000.0,debt_consolidation,Current,17.21,859.17,MORTGAGE,Verified,1 year,LA,High Income,0
30000,30000, 60 months,13.56,C,C1,55000.0,debt_consolidation,Current,13.35,691.23,RENT,Source Verified,5 years,GA,Medium Income,0
40000,40000, 36 months,11.31,B,B3,122000.0,debt_consolidation,Current,13.99,1315.43,MORTGAGE,Verified,10+ years,NJ,Very High Income,0
3500,3500, 36 months,11.31,B,B3,34500.0,credit_card,Current,28.8,115.11,OWN,Not Verified,10+ years,MI,Low Income,0
40000,40000, 60 months,11.8,B,B4,214644.0,debt_consolidation,Current,17.1,885.75,RENT,Verified,< 1 year,CA,Very High Income,0
15000,15000, 60 months,11.8,B,B4,62000.0,credit_card,Current,19.92,332.16,OWN,Source Verified,1 year,TX,Medium Income,0
2800,2800, 36 months,6.46,A,A1,40000.0,debt_consolidation,Current,7.38,85.77,MORTGAGE,Source Verified,10+ years,WV,Low Income,0
7000,7000, 36 months,6.46,A,A1,25000.0,debt_consolidation,Current,11.91,214.42,OWN,Not Verified,< 1 year,FL,Low Income,0
25000,25000, 36 months,7.56,A,A3,100000.0,debt_consolidation,Current,3.38,778.35,RENT,Not Verified,< 1 year,NY,High Income,0
20000,20000, 60 months,11.8,B,B4,48400.0,credit_card,Current,31.71,442.88,MORTGAGE,Not Verified,10+ years,AZ,Medium Income,0
36000,36000, 60 months,12.98,B,B5,190000.0,debt_consolidation,Current,12.11,818.75,MORTGAGE,Not Verified,6 years,MN,Very High Income,0
10000,10000, 36 months,17.97,D,D1,50000.0,debt_consolidation,Current,13.99,361.38,RENT,Source Verified,5 years,CA,Medium Income,0
40000,40000, 60 months,18.94,D,D2,225000.0,home_improvement,Current,18.66,1036.31,MORTGAGE,Source Verified,7 years,WI,Very High Income,0
11000,11000, 60 months,16.91,C,C5,86000.0,credit_card,Current,24.3,272.85,MORTGAGE,Not Verified,3 years,MD,High Income,0
11000,11000, 36 months,6.46,A,A1,45000.0,credit_card,Current,21.68,336.94,ANY,Not Verified,3 years,MN,Medium Income,0
29050,29050, 36 months,10.33,B,B1,68000.0,home_improvement,Fully Paid,23.65,941.87,MORTGAGE,Source Verified,< 1 year,IL,Medium Income,0
20000,20000, 36 months,25.34,E,E3,50000.0,debt_consolidation,Current,22.32,798.8,MORTGAGE,Not Verified,7 years,OK,Medium Income,0
10000,10000, 36 months,11.31,B,B3,75000.0,credit_card,Current,8.16,328.86,RENT,Not Verified,3 years,NY,Medium Income,0
18000,18000, 36 months,26.31,E,E4,98000.0,debt_consolidation,Current,21.49,728.21,MORTGAGE,Verified,7 years,CT,High Income,0
40000,40000, 60 months,8.19,A,A4,110000.0,debt_consolidation,Current,19.08,814.7,MORTGAGE,Not Verified,3 years,GA,High Income,0
15500,15500, 36 months,7.02,A,A2,50000.0,debt_consolidation,Current,20.36,478.74,MORTGAGE,Not Verified,5 years,GA,Medium Income,0
1000,1000, 36 months,13.56,C,C1,42140.0,moving,Fully Paid,24.18,33.97,RENT,Source Verified,1 year,TN,Medium Income,0
1000,1000, 36 months,23.4,E,E1,115000.0,debt_consolidation,Current,20.53,38.92,MORTGAGE,Not Verified,2 years,FL,High Income,0
12500,12500, 36 months,14.47,C,C2,120000.0,debt_consolidation,Current,4.28,430.08,MORTGAGE,Source Verified,1 year,GA,High Income,0
1000,1000, 36 months,10.33,B,B1,89000.0,medical,Current,34.52,32.43,MORTGAGE,Not Verified,10+ years,VA,High Income,0
25000,25000, 60 months,10.33,B,B1,82000.0,credit_card,Current,25.85,535.25,RENT,Not Verified,4 years,CA,High Income,0
5000,5000, 36 months,7.56,A,A3,225000.0,small_business,Current,11.14,155.67,MORTGAGE,Not Verified,2 years,CT,Very High Income,0
35000,35000, 60 months,10.72,B,B2,25400.0,home_improvement,Current,40.74,756.11,MORTGAGE,Not Verified,8 years,FL,Low Income,0
3000,3000, 36 months,11.31,B,B3,47000.0,credit_card,Current,11.52,98.66,RENT,Not Verified,6 years,TN,Medium Income,0
1500,1500, 36 months,20.89,D,D4,45000.0,credit_card,Current,11.57,56.43,RENT,Not Verified,10+ years,MD,Medium Income,0
22000,22000, 60 months,11.8,B,B4,65000.0,credit_card,Current,32.64,487.16,RENT,Source Verified,1 year,IL,Medium Income,0
6000,6000, 36 months,6.46,A,A1,50000.0,debt_consolidation,Current,8.79,183.79,RENT,Not Verified,< 1 year,CA,Medium Income,0
6000,6000, 36 months,7.56,A,A3,64000.0,credit_card,Current,13.76,186.81,MORTGAGE,Source Verified,10+ years,FL,Medium Income,0
10000,10000, 36 months,10.33,B,B1,60000.0,debt_consolidation,Current,19.04,324.23,MORTGAGE,Not Verified,3 years,CA,Medium Income,0
4500,4500, 36 months,27.27,E,E5,45000.0,debt_consolidation,Current,5.89,184.37,RENT,Not Verified,< 1 year,NY,Medium Income,0
16000,16000, 36 months,8.81,A,A5,43000.0,debt_consolidation,Current,13.82,507.39,RENT,Source Verified,5 years,NJ,Medium Income,0
40000,40000, 60 months,15.02,C,C3,70000.0,debt_consolidation,Current,28.7,952.02,MORTGAGE,Verified,10+ years,MD,Medium Income,0
5000,5000, 36 months,24.37,E,E2,45000.0,debt_consolidation,Current,18.05,197.14,RENT,Source Verified,4 years,CA,Medium Income,0
12000,12000, 36 months,14.47,C,C2,99600.0,debt_consolidation,Current,35.05,412.88,MORTGAGE,Not Verified,8 years,MD,High Income,0
4000,4000, 36 months,8.19,A,A4,85000.0,debt_consolidation,Current,16.41,125.7,MORTGAGE,Source Verified,4 years,WV,High Income,0
10000,10000, 36 months,6.46,A,A1,50000.0,debt_consolidation,Current,24.75,306.31,MORTGAGE,Not Verified,7 years,ID,Medium Income,0
16850,16850, 36 months,11.8,B,B4,13032.0,debt_consolidation,Current,39.78,558.06,RENT,Verified,10+ years,TX,Low Income,0
16000,16000, 36 months,6.46,A,A1,48000.0,credit_card,Current,14.6,490.1,OWN,Source Verified,10+ years,TX,Medium Income,0
7000,7000, 36 months,6.46,A,A1,36000.0,credit_card,Current,24.77,214.42,MORTGAGE,Not Verified,10+ years,OH,Low Income,0
6500,6500, 36 months,8.81,A,A5,88000.0,credit_card,Current,14.22,206.13,MORTGAGE,Not Verified,3 years,MA,High Income,0
20000,20000, 60 months,16.91,C,C5,68000.0,debt_consolidation,Current,17.28,496.09,OWN,Not Verified,5 years,FL,Medium Income,0
12600,12600, 36 months,27.27,E,E5,60000.0,debt_consolidation,Current,12.62,516.23,RENT,Verified,3 years,GA,Medium Income,0
4800,4800, 36 months,8.19,A,A4,39000.0,debt_consolidation,Current,18.65,150.84,RENT,Source Verified,7 years,WI,Low Income,0
16000,16000, 36 months,10.72,B,B2,60000.0,credit_card,Current,15.36,521.71,MORTGAGE,Verified,8 years,IN,Medium Income,0
5000,5000, 36 months,8.81,A,A5,55000.0,credit_card,Current,18.7,158.56,MORTGAGE,Not Verified,8 years,WI,Medium Income,0
31025,31025, 60 months,22.35,D,D5,84000.0,other,Current,36.85,863.07,RENT,Verified,10+ years,FL,High Income,0
15000,15000, 60 months,11.8,B,B4,150000.0,debt_consolidation,Current,17.5,332.16,MORTGAGE,Source Verified,3 years,MA,Very High Income,0
14400,14400, 36 months,16.91,C,C5,60000.0,debt_consolidation,Current,38.8,512.76,RENT,Source Verified,2 years,MA,Medium Income,0
15000,15000, 36 months,10.72,B,B2,110000.0,credit_card,Current,12.04,489.1,RENT,Not Verified,1 year,RI,High Income,0
25000,25000, 60 months,14.47,C,C2,170000.0,debt_consolidation,Current,15.51,587.82,MORTGAGE,Source Verified,10+ years,NV,Very High Income,0
1200,1200, 36 months,26.31,E,E4,35000.0,other,Current,30.8,48.55,MORTGAGE,Not Verified,5 years,TX,Low Income,0
5000,5000, 36 months,13.56,C,C1,99000.0,debt_consolidation,Current,33.07,169.83,RENT,Not Verified,8 years,VA,High Income,0
7000,7000, 36 months,17.97,D,D1,32000.0,credit_card,Current,23.52,252.97,RENT,Not Verified,10+ years,MI,Low Income,0
30000,30000, 60 months,17.97,D,D1,135000.0,other,Current,5.87,761.32,RENT,Source Verified,4 years,NY,Very High Income,0
3500,3500, 36 months,18.94,D,D2,127300.0,small_business,Fully Paid,17.91,128.19,MORTGAGE,Verified,10+ years,NV,Very High Income,0
12700,12700, 60 months,11.8,B,B4,60000.0,debt_consolidation,Current,29.82,281.23,MORTGAGE,Not Verified,10+ years,IL,Medium Income,0
3500,3500, 36 months,11.31,B,B3,60000.0,credit_card,Current,9.94,115.11,MORTGAGE,Not Verified,1 year,MD,Medium Income,0
24000,24000, 60 months,11.8,B,B4,170000.0,debt_consolidation,Current,12.08,531.45,MORTGAGE,Not Verified,5 years,TX,Very High Income,0
30000,30000, 36 months,10.72,B,B2,96000.0,debt_consolidation,Current,55.43,978.19,OWN,Not Verified,10+ years,TX,High Income,0
20000,20000, 36 months,11.31,B,B3,118000.0,debt_consolidation,Current,12.13,657.72,MORTGAGE,Not Verified,< 1 year,CA,High Income,0
11000,11000, 36 months,10.33,B,B1,40000.0,credit_card,Current,28.89,356.65,MORTGAGE,Not Verified,10+ years,MD,Low Income,0
7500,7500, 36 months,8.81,A,A5,89000.0,debt_consolidation,Current,2.6,237.84,MORTGAGE,Not Verified,10+ years,MD,High Income,0
8000,8000, 36 months,11.8,B,B4,69000.0,credit_card,Current,33.41,264.96,RENT,Not Verified,3 years,FL,Medium Income,0
9000,9000, 36 months,10.72,B,B2,54000.0,debt_consolidation,Current,9.24,293.46,RENT,Not Verified,10+ years,IN,Medium Income,0
40000,40000, 60 months,10.72,B,B2,180000.0,other,Current,11.54,864.13,RENT,Source Verified,< 1 year,TX,Very High Income,0
15000,15000, 60 months,13.56,C,C1,85000.0,debt_consolidation,Current,16.22,345.62,MORTGAGE,Not Verified,< 1 year,TX,High Income,0
35000,35000, 36 months,16.91,C,C5,237000.0,major_purchase,Current,7.59,1246.28,MORTGAGE,Verified,1 year,LA,Very High Income,0
40000,40000, 36 months,12.98,B,B5,225000.0,small_business,Current,12.68,1347.38,MORTGAGE,Not Verified,1 year,CT,Very High Income,0
4800,4800, 36 months,13.56,C,C1,77000.0,debt_consolidation,Current,26.29,163.03,MORTGAGE,Source Verified,10+ years,NY,Medium Income,0
18000,18000, 36 months,15.02,C,C3,58000.0,debt_consolidation,Current,27.11,624.16,RENT,Not Verified,4 years,WA,Medium Income,0
16000,16000, 36 months,7.56,A,A3,79000.0,home_improvement,Current,23.64,498.15,MORTGAGE,Not Verified,10+ years,OH,Medium Income,0
10000,10000, 60 months,16.14,C,C4,173500.0,other,Current,7.23,243.93,RENT,Source Verified,10+ years,CA,Very High Income,0
16500,16500, 60 months,11.8,B,B4,50000.0,credit_card,Current,11.64,365.37,RENT,Not Verified,8 years,TX,Medium Income,0
12000,12000, 36 months,7.56,A,A3,94992.0,debt_consolidation,Current,14.74,373.61,MORTGAGE,Source Verified,10+ years,AZ,High Income,0
15000,15000, 36 months,19.92,D,D3,82038.0,debt_consolidation,Current,27.63,556.85,MORTGAGE,Source Verified,10+ years,FL,High Income,0
8000,8000, 36 months,11.8,B,B4,53188.0,debt_consolidation,Current,13.67,264.96,RENT,Not Verified,3 years,TX,Medium Income,0
12500,12500, 60 months,17.97,D,D1,68000.0,credit_card,Current,15.65,317.22,RENT,Source Verified,1 year,CT,Medium Income,0
15000,15000, 60 months,12.98,B,B5,61000.0,debt_consolidation,Current,16.21,341.15,RENT,Source Verified,6 years,NY,Medium Income,0
15000,15000, 36 months,8.81,A,A5,60000.0,debt_consolidation,Current,9.02,475.68,RENT,Source Verified,5 years,NY,Medium Income,0
15000,15000, 36 months,7.02,A,A2,125000.0,debt_consolidation,Current,13.31,463.3,OWN,Not Verified,3 years,NY,Very High Income,0
8000,8000, 36 months,11.8,B,B4,22000.0,credit_card,Current,16.26,264.96,RENT,Not Verified,2 years,AZ,Low Income,0
25000,25000, 36 months,11.8,B,B4,160000.0,credit_card,Current,5.51,827.98,RENT,Not Verified,< 1 year,RI,Very High Income,0
6000,6000, 36 months,8.19,A,A4,69000.0,debt_consolidation,Current,25.77,188.55,MORTGAGE,Source Verified,10+ years,NC,Medium Income,0
12000,12000, 36 months,8.19,A,A4,60000.0,credit_card,Current,23.48,377.09,MORTGAGE,Not Verified,4 years,MN,Medium Income,0
40000,40000, 60 months,11.8,B,B4,223000.0,other,Current,2.36,885.75,RENT,Not Verified,10+ years,AZ,Very High Income,0
9000,9000, 36 months,12.98,B,B5,48000.0,credit_card,Current,19.63,303.16,RENT,Not Verified,3 years,NV,Medium Income,0
14000,14000, 36 months,12.98,B,B5,70000.0,debt_consolidation,Current,19.29,471.59,RENT,Not Verified,6 years,IN,Medium Income,0
15000,15000, 60 months,10.72,B,B2,120000.0,debt_consolidation,Current,14.95,324.05,MORTGAGE,Not Verified,4 years,MA,High Income,0
9500,9500, 36 months,8.81,A,A5,45000.0,credit_card,Current,34.61,301.26,RENT,Not Verified,< 1 year,CA,Medium Income,0
7500,7500, 36 months,19.92,D,D3,60000.0,debt_consolidation,Current,8.0,278.43,RENT,Not Verified,2 years,NY,Medium Income,0
5000,5000, 36 months,7.56,A,A3,36000.0,credit_card,Current,18.83,155.67,MORTGAGE,Not Verified,10+ years,MI,Low Income,0
5000,5000, 36 months,8.81,A,A5,47000.0,debt_consolidation,Current,21.17,158.56,MORTGAGE,Not Verified,3 years,CA,Medium Income,0
4400,4400, 36 months,12.98,B,B5,45000.0,credit_card,Current,12.85,148.22,RENT,Not Verified,1 year,TX,Medium Income,0
6000,6000, 36 months,16.14,C,C4,50000.0,car,Current,23.28,211.36,RENT,Not Verified,10+ years,NY,Medium Income,0
19000,19000, 36 months,6.46,A,A1,80000.0,other,Current,17.79,581.99,MORTGAGE,Not Verified,10+ years,GA,Medium Income,0
21600,21600, 60 months,10.72,B,B2,106000.0,debt_consolidation,Current,14.2,466.63,MORTGAGE,Not Verified,10+ years,WI,High Income,0
32000,32000, 60 months,8.19,A,A4,50000.0,small_business,Current,12.77,651.76,MORTGAGE,Not Verified,< 1 year,OK,Medium Income,0
40000,40000, 60 months,11.8,B,B4,86200.0,debt_consolidation,Current,15.72,885.75,MORTGAGE,Source Verified,10+ years,TX,High Income,0
10000,10000, 36 months,7.56,A,A3,125000.0,debt_consolidation,Current,8.84,311.34,MORTGAGE,Not Verified,5 years,VA,Very High Income,0
11000,11000, 36 months,8.81,A,A5,75000.0,debt_consolidation,Current,11.97,348.83,RENT,Not Verified,3 years,NY,Medium Income,0
6000,6000, 36 months,12.98,B,B5,29159.0,debt_consolidation,Current,9.26,202.11,RENT,Source Verified,1 year,CO,Low Income,0
15000,15000, 36 months,7.56,A,A3,148000.0,debt_consolidation,Current,9.58,467.01,MORTGAGE,Not Verified,< 1 year,NY,Very High Income,0
15000,15000, 60 months,11.8,B,B4,35000.0,debt_consolidation,Current,7.96,332.16,RENT,Not Verified,10+ years,NY,Low Income,0
5000,5000, 36 months,11.8,B,B4,30000.0,credit_card,Current,9.48,165.6,RENT,Not Verified,10+ years,WA,Low Income,0
12000,12000, 36 months,13.56,C,C1,50000.0,debt_consolidation,Current,26.21,407.58,RENT,Source Verified,3 years,FL,Medium Income,0
6000,6000, 36 months,7.02,A,A2,60000.0,debt_consolidation,Current,9.52,185.32,MORTGAGE,Not Verified,3 years,FL,Medium Income,0
19000,19000, 36 months,7.02,A,A2,40000.0,debt_consolidation,Current,22.62,586.84,MORTGAGE,Source Verified,8 years,VA,Low Income,0
7500,7500, 36 months,10.72,B,B2,57000.0,credit_card,Current,1.81,244.55,RENT,Source Verified,1 year,PA,Medium Income,0
20000,20000, 36 months,15.02,C,C3,102000.0,debt_consolidation,Current,38.64,693.51,MORTGAGE,Not Verified,10+ years,GA,High Income,0
20000,20000, 36 months,14.47,C,C2,114000.0,debt_consolidation,Current,18.77,688.13,RENT,Not Verified,< 1 year,CA,High Income,0
7000,7000, 36 months,18.94,D,D2,98000.0,debt_consolidation,Current,38.97,256.38,OWN,Not Verified,6 years,OH,High Income,0
10000,10000, 36 months,11.8,B,B4,100000.0,debt_consolidation,Fully Paid,10.6,331.19,RENT,Source Verified,1 year,IL,High Income,0
5000,5000, 36 months,8.19,A,A4,73000.0,credit_card,Current,21.52,157.13,RENT,Not Verified,2 years,AZ,Medium Income,0
10000,10000, 60 months,13.56,C,C1,105000.0,credit_card,Current,21.25,230.41,RENT,Not Verified,2 years,CA,High Income,0
15000,15000, 36 months,8.81,A,A5,76000.0,home_improvement,Current,17.97,475.68,MORTGAGE,Not Verified,10+ years,NV,Medium Income,0
11200,11200, 60 months,12.98,B,B5,125000.0,credit_card,Current,21.9,254.72,RENT,Source Verified,4 years,PA,Very High Income,0
5000,5000, 36 months,14.47,C,C2,33000.0,debt_consolidation,Current,3.64,172.04,RENT,Not Verified,2 years,FL,Low Income,0
8000,8000, 36 months,13.56,C,C1,119000.0,debt_consolidation,Current,17.94,271.72,RENT,Not Verified,10+ years,WA,High Income,0
3600,3600, 36 months,8.19,A,A4,45000.0,debt_consolidation,Current,18.21,113.13,MORTGAGE,Not Verified,8 years,PA,Medium Income,0
22000,22000, 36 months,7.56,A,A3,70000.0,credit_card,Current,23.61,684.95,MORTGAGE,Not Verified,10+ years,GA,Medium Income,0
32000,32000, 60 months,12.98,B,B5,140000.0,house,Current,27.44,727.78,RENT,Not Verified,< 1 year,VA,Very High Income,0
40000,40000, 60 months,8.19,A,A4,200400.0,credit_card,Current,6.5,814.7,RENT,Not Verified,1 year,MD,Very High Income,0
2400,2400, 36 months,7.56,A,A3,48000.0,credit_card,Current,16.43,74.73,MORTGAGE,Not Verified,10+ years,FL,Medium Income,0
6000,6000, 36 months,10.33,B,B1,90000.0,home_improvement,Current,14.83,194.54,MORTGAGE,Not Verified,4 years,CT,High Income,0
13500,13500, 60 months,8.19,A,A4,74500.0,debt_consolidation,Current,22.13,274.97,MORTGAGE,Not Verified,< 1 year,TN,Medium Income,0
3125,3125, 36 months,6.46,A,A1,80000.0,credit_card,Current,12.17,95.73,RENT,Not Verified,10+ years,OH,Medium Income,0
35000,35000, 60 months,11.31,B,B3,95000.0,debt_consolidation,Current,16.98,766.41,RENT,Source Verified,4 years,LA,High Income,0
12000,12000, 36 months,8.81,A,A5,90000.0,credit_card,Current,5.55,380.54,MORTGAGE,Source Verified,6 years,GA,High Income,0
35000,35000, 36 months,15.02,C,C3,76000.0,debt_consolidation,Current,26.32,1213.63,RENT,Source Verified,8 years,TX,Medium Income,0
12000,12000, 36 months,11.31,B,B3,120000.0,credit_card,Current,12.48,394.63,MORTGAGE,Verified,1 year,GA,High Income,0
6000,6000, 36 months,6.46,A,A1,54000.0,debt_consolidation,Current,13.94,183.79,MORTGAGE,Source Verified,10+ years,PA,Medium Income,0
7400,7400, 36 months,26.31,E,E4,50000.0,debt_consolidation,Current,22.17,299.38,MORTGAGE,Source Verified,10+ years,NC,Medium Income,0
22000,22000, 36 months,6.46,A,A1,145000.0,credit_card,Current,23.44,673.88,MORTGAGE,Not Verified,10+ years,NY,Very High Income,0
